Time,AdoptersA,PotentialAdoptersP
0.0,0.0,1.0e6
9.090900000004546e-5,1.0000575930356057,999998.999942407
0.0008303706947292832,9.138967671950976,999990.8610323281
0.004570209657233546,50.42066870730805,999949.5793312928
0.012325255577507445,136.66040199382832,999863.3395980062
0.023399785442353285,261.31802104445876,999738.6819789556
0.037592072718358766,423.6918525824403,999576.3081474176
0.05548596375442229,632.6906758426304,999367.3093241574
0.07701657938549383,890.630372577029,999109.369627423
0.10234535024735214,1203.36037819209,998796.639621808
0.13135572072117246,1574.2811519007655,998425.7188480992
0.16397189160456804,2008.1445282449229,997991.855471755
0.2000067975041582,2509.0726039423885,997490.9273960575
0.2392730621643874,3081.910529877211,996918.0894701227
0.28154701309016356,3731.6673219853897,996268.3326780145
0.3266071093292238,4464.000702210872,995535.9992977891
0.37422797367474464,5285.0926480107,994714.9073519892
0.42419427657278985,6201.853219536731,993798.1467804632
0.4763019357086378,7221.954881196331,992778.0451188036
0.5303615056776302,8353.927120402663,991646.0728795973
0.5861983532345708,9607.21276805053,990392.7872319494
0.6436548721010739,10992.289239743706,989007.7107602562
0.7025906921128382,12520.775299725785,987479.2247002741
0.7628792791989182,14205.458009880045,985794.5419901198
0.8244102566227444,16060.478306567225,983939.5216934327
0.88708692469625,18101.409083563747,981898.5909164362
0.9508261588487646,20345.41038909031,979654.5896109096
1.0155571278011497,22811.362794558772,977188.6372054411
1.0812207091237578,25520.03571907245,974479.9642809274
1.1477687139569361,28494.26327345729,971505.7367265426
1.2151633324484714,31759.142866000395,968240.8571339995
1.2833767123839728,35342.256001291964,964657.7439987079
1.3523906552679579,39273.912770482246,960726.0872295175
1.4221964694624323,43587.42466371452,956412.5753362853
1.4927950263302214,48319.412413125676,951680.5875868741
1.5641969833067766,53510.15171888311,946489.8482811167
1.6364232387838058,59203.96670220953,940796.0332977903
1.7095056832823021,65449.68418714815,934550.3158128518
1.7834882236255154,72301.15732149407,927698.8426785058
1.8584283190298352,79817.89309235259,920182.1069076473
1.9343989803970423,88065.8006747779,911934.199325222
2.0114916295883885,97118.12869917815,902881.8713008218
2.089819985766599,107056.6566925816,892943.3433074183
2.169525597573148,117973.28225364236,882026.7177463575
2.250785776182806,129972.2138396572,870027.7861603427
2.333825491688679,143173.1720852837,856826.8279147162
2.4189359716718046,157716.3415171871,842283.6584828128
2.5065054048009325,173770.55767449766,826229.4423255023
2.597073829219736,191548.05200210525,808451.9479978947
2.6914420282847846,211334.02847179788,788665.9715282021
2.790930833275869,233557.4805540151,766442.5194459849
2.8981550861207706,259004.4610744617,740995.5389255383
3.0212759056660823,289983.29861477716,710016.7013852228
3.1558124280173843,325695.2441343285,674304.7558656714
3.2704228344211397,357341.30560424423,642658.6943957557
3.3876583118048984,390532.38242484047,609467.6175751594
3.4996879138444332,422683.973669183,577316.0263308169
3.6112609996869565,454779.96462213644,545220.0353778634
3.7211355815501066,486126.92482210515,513873.07517789473
3.831009016616357,516896.55266081996,483103.4473391799
3.9413092724487475,546909.5975254247,453090.4024745752
4.053472944212362,576259.0229301419,423740.97706985805
4.169254824265,605073.6688677064,394926.3311322935
4.29269388045699,633917.3438126083,366082.6561873916
4.442996914045516,666195.7261277369,333804.27387226303
4.568253667726473,690608.2377334816,309391.7622665183
4.690019781308772,712157.4543397878,287842.5456602121
4.804698743774577,730521.4604669497,269478.53953305027
4.915673696881177,746573.9001781077,253426.0998218923
5.022602897093684,760520.7269661981,239479.27303380196
5.126681337483378,772747.1025170274,227252.89748297256
5.228225135594547,783478.6937665128,216521.3062334872
5.327862214716129,792942.9390386806,207057.0609613194
5.425970670038359,801310.411807735,198689.58819226507
5.522968758133334,808730.8919988903,191269.1080011098
5.6191837851620035,815325.8950103434,184674.10498965668
5.714928533747067,821199.0792614443,178800.92073855578
5.8104728060194475,826437.3206214707,173562.67937852934
5.906068203916019,831114.9437120126,168885.05628798745
6.001941207261981,835295.3951824034,164704.60481759667
6.098301980926734,839033.4178855199,160966.5821144802
6.1953465975599125,842376.5027727304,157623.49722726966
6.293260572856099,845366.1252842185,154633.87471578168
6.392221096631567,848038.7082111618,151961.29178883834
6.492399414216005,850426.415262694,149573.58473730605
6.593962707346201,852557.7889629019,147442.2110370981
6.697075921833914,854458.275213706,145541.72478629404
6.801903332933577,856150.6517144243,143849.34828557575
6.908610085295964,857655.3832898879,142344.6167101121
7.0173635997993005,858990.9158982438,141009.08410175625
7.128334965266062,860173.9225471414,139826.07745285856
7.241700291683075,861219.5095056645,138780.4904943356
7.3576421112726615,862141.3907943083,137858.60920569178
7.476350812005506,862952.0362312091,137047.96376879103
7.598026156899147,863662.7979792242,136337.2020207759
7.72287883940117,864284.0189428258,135715.98105717427
7.851132292211819,864825.1271580176,135174.87284198252
7.983024550667589,865294.7172895912,134705.28271040897
8.118810409248812,865700.6223777696,134299.37762223056
8.25876380616134,866049.9769075094,133950.0230924908
8.403180472112153,866349.2726805808,133650.72731941938
8.552381058344542,866604.4089810165,133395.59101898372
8.70671460685184,866820.7374594795,133179.26254052072
8.866562602547589,867003.1029277556,132996.89707224467
9.032343711962186,867155.880619666,132844.11938033428
9.204519240076706,867283.0103623308,132716.9896376694
9.38360151986259,867388.0292727379,132611.97072726238
9.570158786826658,867474.0990666482,132525.90093335215
9.764824828577396,867544.0347031505,132455.96529684978
9.968310608588105,867600.3308871705,132399.6691128298
10.0,867607.821328742,132392.17867125833
